ConfigName,Case,RunCount,LLVM_Pass,MIR_Pass,BinarySize_Bytes,NsPerIter,MBps,TotalRuntime_s,CompileTime_s,runtime_delta_pct,compile_delta_pct,size_delta_pct,ns_per_iter_delta_pct,mbps_delta_pct,BinarySize_delta,TotalRuntime_delta,CompileTime_delta
EXP_DBL_0728,easy_case,1,nounwind-inference,GVN,1061384.0,43599.81,24050.0,0.114474,1.719882,-87.3228253153679,14.639769798213486,0.0,33.73797426575691,-25.226961820669068,0.0,-0.7885190000000001,0.21963299999999997
EXP_DBL_1373,easy_case,1,machine-cse,ScalarReplacementOfAggregates,1061352.0,43608.75,24045.0,0.123359,6.930905,-86.33887527367322,361.9836440484213,-0.003014931447997693,33.76539680475277,-25.24250715085189,-32.0,-0.779634,5.430656
EXP_DBL_1149,easy_case,1,whole-program-visibility,JumpThreading,1061480.0,43611.29,24043.0,0.137333,2.736614,-84.79135497174397,82.41065316490797,0.009044794343981977,33.773187995921596,-25.24872528292501,96.0,-0.76566,1.236365
EXP_DBL_0685,easy_case,1,chr,GVN,1061384.0,32363.93,32400.0,0.138026,1.558808,-84.71461019077667,3.9032853879589435,0.0,-0.7269426752373742,0.7337395846287675,0.0,-0.7649670000000001,0.05855900000000003
EXP_DBL_0429,easy_case,1,machine-licm,EarlyOtherwiseBranch,1061224.0,50587.04,20728.0,0.138201,1.548895,-84.69523019558292,3.2425284069511173,-0.015074657239977363,55.17059027782039,-35.55527919413009,-160.0,-0.764792,0.04864599999999997
EXP_DBL_1562,easy_case,1,thinlto-funcattrs,UnreachableEnumBranching,1061384.0,32359.55,32404.0,0.138839,6.300685,-84.62457627024794,319.9759506588573,0.0,-0.7403778789064841,0.7461758487750325,0.0,-0.764154,4.8004359999999995
EXP_DBL_0588,easy_case,1,replace-with-vec-lib,ForceInline,1061384.0,43633.0,24031.0,0.139677,1.596584,-84.53177377897725,6.421267402944442,0.0,33.83978120862847,-25.286034075363762,0.0,-0.7633160000000001,0.09633500000000006
EXP_DBL_0471,easy_case,1,auto-upgrade-debug-info,EarlyOtherwiseBranch,1061384.0,43606.26,24046.0,0.140179,1.448908,-84.47618087847857,-3.422165253901177,0.0,33.75775898348883,-25.239398084815324,0.0,-0.7628140000000001,-0.05134099999999986
EXP_DBL_1559,easy_case,1,ondemand-mds-loading,UnreachableEnumBranching,1061384.0,43596.53,24052.0,0.140741,6.4133,-84.41394340819917,327.4823712597042,0.0,33.7279131999956,-25.22074368859595,0.0,-0.762252,4.913050999999999
EXP_DBL_0971,easy_case,1,cfi-fixup,InstSimplify-after-simplifycfg,1061384.0,45171.66,23213.0,0.141849,1.78304,-84.29124035291525,18.849604299019695,0.0,38.55946396604759,-27.829250093271984,0.0,-0.761144,0.282791
EXP_DBL_0431,easy_case,1,preheader-prot,EarlyOtherwiseBranch,1061336.0,43678.08,24006.0,0.144073,1.464194,-84.04494829970997,-2.403267724224445,-0.004522397171990988,33.97805951488486,-25.363760726277828,-48.0,-0.75892,-0.03605499999999995
EXP_DBL_1531,easy_case,1,adv-copy-opt,UnreachableEnumBranching,1061384.0,43588.91,24056.0,0.144608,2.229023,-83.98570088583189,48.576869572984236,0.0,33.704539626489094,-25.208307424449693,0.0,-0.7583850000000001,0.7287740000000003
EXP_DBL_1493,easy_case,1,spill-fusing,SingleUseConsts,1061576.0,31856.91,32916.0,0.145109,2.208038,-83.9302187281629,47.178101768439795,0.018089588687986158,-2.2821748588690127,2.338017659495084,192.0,-0.757884,0.7077890000000002
EXP_DBL_0331,easy_case,1,spill-fusing,DeadStoreElimination-initial,1061576.0,31279.18,33523.0,0.145233,2.143806,-83.91648661728274,42.8966791512609,0.018089588687986158,-4.054302762007933,4.225220743688607,192.0,-0.75776,0.6435570000000002
EXP_DBL_0410,easy_case,1,partial-inlining,DestinationPropagation,1061384.0,43673.92,24009.0,0.145372,1.562408,-83.90109336395741,4.143245554571284,0.0,33.96529913879731,-25.35443352816814,0.0,-0.7576210000000001,0.062159000000000075
EXP_DBL_0389,easy_case,1,bitcode-version-upgrade,DestinationPropagation,1061384.0,43716.19,23986.0,0.145416,1.795578,-83.89622067945156,19.685332234849007,0.0,34.09495805639842,-25.425942047009077,0.0,-0.7575770000000001,0.29532899999999995
EXP_DBL_0307,easy_case,1,cfi-fixup,DeadStoreElimination-initial,1061384.0,43585.41,24058.0,0.146751,1.853745,-83.74837900183059,23.562488626887944,0.0,33.69380373314619,-25.202089292376574,0.0,-0.7562420000000001,0.35349600000000003
EXP_ABL_020_disable-cgp-select2branch,easy_case,1,cgp-select2branch,N/A,1061384.0,43589.39,24055.0,0.147605,1.340919,-83.65380462528502,-10.620237040651247,0.0,33.7060119775761,-25.21141649048626,0.0,-0.7553880000000001,-0.15932999999999997
EXP_ABL_004_DeadStoreElimination-initial,easy_case,1,None,DeadStoreElimination-initial,1061384.0,32406.01,32357.0,0.148584,1.860354,-83.54538739502964,24.003015499427093,0.0,-0.5978665632748958,0.6000497450565856,0.0,-0.7544090000000001,0.3601050000000001
EXP_DBL_0266,easy_case,1,block-placement,DeadStoreElimination-initial,1060904.0,32502.81,32261.0,0.148631,1.426438,-83.54018248203474,-4.919916627173215,-0.04522397171994319,-0.30094242739161503,0.30157940554658147,-480.0,-0.754362,-0.07381099999999985
EXP_DBL_0292,easy_case,1,gep-const-evaluation,DeadStoreElimination-initial,1061384.0,43656.44,24019.0,0.148928,1.84065,-83.50729186162019,22.689633520835528,0.0,33.911681020044846,-25.323342867802513,0.0,-0.754065,0.34040099999999995
EXP_DBL_0853,easy_case,1,early-taildup,Inline,1060904.0,490610.6,2137.0,0.149282,1.296154,-83.46808889991395,-13.604075056873889,-0.04522397171994319,1404.8980212828349,-93.35592587986568,-480.0,-0.753711,-0.20409499999999992
EXP_DBL_0828,easy_case,1,post-ra,ImpossiblePredicates,1061384.0,43651.68,24021.0,0.149509,1.766907,-83.4429502775769,17.774249474587233,0.0,33.89708020509852,-25.31712473572939,0.0,-0.753484,0.26665800000000006
EXP_DBL_0376,easy_case,1,icp,DestinationPropagation,1061384.0,45422.82,23085.0,0.151538,1.852948,-83.21825307615896,23.50936411222404,0.0,39.32987167233317,-28.227210545951998,0.0,-0.751455,0.3526990000000001
EXP_DBL_0668,easy_case,1,loop-idiom-vectorize-all,GVN,1061384.0,43891.63,23890.0,0.151693,1.94469,-83.20108793755875,29.624482335932246,0.0,34.63310237870587,-25.72441238651909,0.0,-0.7513000000000001,0.4444410000000001
EXP_DBL_1392,easy_case,1,nounwind-inference,ScalarReplacementOfAggregates,1061384.0,43594.16,24053.0,0.151815,6.765109,-83.18757731233796,350.9324118862936,0.0,33.72064346650341,-25.21763462255938,0.0,-0.751178,5.26486
EXP_DBL_0870,easy_case,1,constant-hoisting,Inline,1060904.0,425721.3,2463.0,0.152586,1.493179,-83.10219459065574,-0.4712551049859015,-0.04522397171994319,1205.856705884374,-92.34237035194627,-480.0,-0.750407,-0.00706999999999991
EXP_ABL_023_disable-early-taildup,easy_case,1,early-taildup,N/A,1061384.0,33889.79,30941.0,0.152944,1.240447,-83.06254865763078,-17.317258668394373,0.0,3.9534773865277595,-3.802387762716075,0.0,-0.7500490000000001,-0.25980199999999987
EXP_DBL_1583,easy_case,1,promote-alloca-to-vector,UnreachablePropagation,1061384.0,43601.13,24049.0,0.15309,4.943518,-83.04638020449771,229.51316748086487,0.0,33.74202323124624,-25.230070886705636,0.0,-0.749903,3.443269
EXP_DBL_1064,easy_case,1,thinlto-funcattrs,InstSimplify-before-inline,1061384.0,44477.57,23575.0,0.153539,4.041334,-82.996656673972,169.37754999336775,0.0,36.43041362022912,-26.703768188036314,0.0,-0.7494540000000001,2.541085
EXP_DBL_1022,easy_case,1,ifcvt-simple,InstSimplify-before-inline,1061384.0,43683.12,24004.0,0.153936,3.248856,-82.95269177058958,116.55445196097448,0.0,33.993519201298625,-25.36997885835095,0.0,-0.7490570000000001,1.748607
EXP_DBL_1474,easy_case,1,nofree-inference,SingleUseConsts,1061384.0,43708.32,23990.0,0.15482,6.266794,-82.85479510915367,317.71692565700766,0.0,34.07081763336741,-25.413505782862835,0.0,-0.748173,4.766545
EXP_DBL_1404,easy_case,1,i2p-p2i-opt,ScalarReplacementOfAggregates,1061400.0,31246.28,33558.0,0.1587,2.030238,-82.42511293000057,35.32673576186356,0.0015074657240043976,-4.155220159431083,4.334038054968281,16.0,-0.7442930000000001,0.5299890000000003
EXP_DBL_0107,easy_case,1,ifcvt-diamond,DataflowConstProp,1061384.0,31627.84,33154.0,0.161933,1.627494,-82.06708136164954,8.481592055718746,0.0,-2.9848237411704837,3.077975376196984,0.0,-0.74106,0.12724500000000005
EXP_DBL_0524,easy_case,1,ifcvt-simple,EnumSizeOpt,1061384.0,32275.31,32488.0,0.162282,1.536172,-82.0284321140917,2.394469184782011,0.0,-0.9987754946792826,1.0073373958462861,0.0,-0.740711,0.03592300000000015
